date,region,sub_region,country,geo_type,driving,transit,walking
2020-01-13,Alabama,,United States,sub-region,100.0,,
2020-01-13,Alaska,,United States,sub-region,100.0,,
2020-01-13,Arizona,,United States,sub-region,100.0,,
2020-01-13,Arkansas,,United States,sub-region,100.0,,
2020-01-13,California,,United States,sub-region,100.0,,
2020-01-13,Colorado,,United States,sub-region,100.0,,
2020-01-13,Connecticut,,United States,sub-region,100.0,,
2020-01-13,Delaware,,United States,sub-region,100.0,,
2020-01-13,Florida,,United States,sub-region,100.0,,
2020-01-13,Georgia,,United States,sub-region,100.0,,
2020-01-13,Guam,,United States,sub-region,100.0,,
2020-01-13,Hawaii,,United States,sub-region,100.0,,
2020-01-13,Idaho,,United States,sub-region,100.0,,
2020-01-13,Illinois,,United States,sub-region,100.0,,
2020-01-13,Indiana,,United States,sub-region,100.0,,
2020-01-13,Iowa,,United States,sub-region,100.0,,
2020-01-13,Kansas,,United States,sub-region,100.0,,
2020-01-13,Kentucky,,United States,sub-region,100.0,,
2020-01-13,Louisiana,,United States,sub-region,100.0,,
2020-01-13,Maine,,United States,sub-region,100.0,,
2020-01-13,Maryland,,United States,sub-region,100.0,,
2020-01-13,Massachusetts,,United States,sub-region,100.0,,
2020-01-13,Michigan,,United States,sub-region,100.0,,
2020-01-13,Minnesota,,United States,sub-region,100.0,,
2020-01-13,Mississippi,,United States,sub-region,100.0,,
2020-01-13,Missouri,,United States,sub-region,100.0,,
2020-01-13,Montana,,United States,sub-region,100.0,,
2020-01-13,Nebraska,,United States,sub-region,100.0,,
2020-01-13,Nevada,,United States,sub-region,100.0,,
2020-01-13,New Hampshire,,United States,sub-region,100.0,,
2020-01-13,New Jersey,,United States,sub-region,100.0,,
2020-01-13,New Mexico,,United States,sub-region,100.0,,
2020-01-13,New York,,United States,sub-region,100.0,,
2020-01-13,North Carolina,,United States,sub-region,100.0,,
2020-01-13,North Dakota,,United States,sub-region,100.0,,
2020-01-13,Ohio,,United States,sub-region,100.0,,
2020-01-13,Oklahoma,,United States,sub-region,100.0,,
2020-01-13,Oregon,,United States,sub-region,100.0,,
2020-01-13,Pennsylvania,,United States,sub-region,100.0,,
2020-01-13,Puerto Rico,,United States,sub-region,100.0,,
2020-01-13,Rhode Island,,United States,sub-region,100.0,,
2020-01-13,South Carolina,,United States,sub-region,100.0,,
2020-01-13,South Dakota,,United States,sub-region,100.0,,
2020-01-13,Tennessee,,United States,sub-region,100.0,,
