date,country_region,sub_region_1,sub_region_2,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,United States,,,6.0,2.0,15.0,3.0,2.0,-1.0
2020-02-16,United States,,,7.0,1.0,16.0,2.0,0.0,-1.0
2020-02-17,United States,,,6.0,0.0,28.0,-9.0,-24.0,5.0
2020-02-18,United States,,,0.0,-1.0,6.0,1.0,0.0,1.0
2020-02-19,United States,,,2.0,0.0,8.0,1.0,1.0,0.0
2020-02-20,United States,,,1.0,0.0,4.0,0.0,0.0,1.0
2020-02-21,United States,,,2.0,-2.0,4.0,1.0,0.0,0.0
2020-02-22,United States,,,7.0,3.0,23.0,5.0,4.0,-1.0
2020-02-23,United States,,,7.0,3.0,23.0,5.0,2.0,-1.0
2020-02-24,United States,,,2.0,1.0,9.0,1.0,3.0,0.0
2020-02-25,United States,,,4.0,1.0,9.0,2.0,2.0,0.0
2020-02-26,United States,,,7.0,2.0,5.0,3.0,2.0,-1.0
2020-02-27,United States,,,8.0,3.0,12.0,4.0,2.0,0.0
2020-02-28,United States,,,8.0,3.0,10.0,5.0,2.0,-1.0
2020-02-29,United States,,,12.0,7.0,21.0,7.0,4.0,-2.0
2020-03-01,United States,,,13.0,9.0,18.0,7.0,3.0,-1.0
2020-03-02,United States,,,7.0,6.0,10.0,2.0,3.0,-1.0
2020-03-03,United States,,,11.0,10.0,20.0,3.0,2.0,-1.0
2020-03-04,United States,,,8.0,6.0,17.0,2.0,3.0,-1.0
2020-03-05,United States,,,8.0,7.0,21.0,2.0,3.0,-1.0
2020-03-06,United States,,,5.0,3.0,12.0,2.0,2.0,-1.0
2020-03-07,United States,,,10.0,8.0,29.0,7.0,5.0,-1.0
2020-03-08,United States,,,10.0,7.0,40.0,5.0,2.0,-1.0
2020-03-09,United States,,,6.0,6.0,31.0,-1.0,0.0,0.0
2020-03-10,United States,,,6.0,7.0,18.0,-3.0,-2.0,1.0
2020-03-11,United States,,,8.0,10.0,26.0,-2.0,-1.0,0.0
2020-03-12,United States,,,6.0,23.0,19.0,-6.0,-3.0,1.0
2020-03-13,United States,,,2.0,26.0,4.0,-10.0,-7.0,3.0
2020-03-14,United States,,,-6.0,18.0,3.0,-10.0,-1.0,3.0
2020-03-15,United States,,,-9.0,12.0,5.0,-13.0,-7.0,3.0
2020-03-16,United States,,,-8.0,21.0,-1.0,-22.0,-20.0,8.0
2020-03-17,United States,,,-18.0,14.0,8.0,-26.0,-27.0,11.0
2020-03-18,United States,,,-24.0,8.0,6.0,-30.0,-31.0,13.0
2020-03-19,United States,,,-28.0,7.0,2.0,-36.0,-33.0,15.0
2020-03-20,United States,,,-32.0,5.0,-2.0,-37.0,-36.0,16.0
2020-03-21,United States,,,-40.0,-2.0,-3.0,-36.0,-24.0,12.0
